t,h,h_dot,alpha,alpha_dot,delta,W_g,C_L,C_M,F_y,M_z
2.00000000e-03,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.98850558e-03,1.26327256e-01,3.00480580e-02,1.23800711e+02,2.94470968e+01
4.00000000e-03,-9.76024003e-06,-9.23401555e-03,2.33284460e-05,2.06775589e-02,0.00000000e+00,1.99453874e-02,8.94943834e-02,1.33799198e-02,8.77044957e+01,1.31123214e+01
6.00000000e-03,-3.65016836e-05,-1.78164645e-02,7.94989318e-05,3.65382586e-02,0.00000000e+00,4.48447556e-02,1.11286401e-01,2.00116598e-02,1.09060673e+02,1.96114266e+01
8.00000000e-03,-8.15454132e-05,-2.71778563e-02,1.70681553e-04,5.41990433e-02,0.00000000e+00,7.96435102e-02,1.08025503e-01,1.72811717e-02,1.05864993e+02,1.69355482e+01
1.00000000e-02,-1.45166538e-04,-3.64693930e-02,2.95096092e-04,7.00614764e-02,0.00000000e+00,1.24281416e-01,1.10135612e-01,1.64081150e-02,1.07932900e+02,1.60799527e+01
1.20000000e-02,-2.27561994e-04,-4.59694291e-02,4.50611863e-04,8.54505510e-02,0.00000000e+00,1.78681206e-01,1.13531597e-01,1.65034738e-02,1.11260965e+02,1.61734044e+01
1.40000000e-02,-3.29184012e-04,-5.56790888e-02,6.36777095e-04,1.00657850e-01,0.00000000e+00,2.42748716e-01,1.15824005e-01,1.62862884e-02,1.13507525e+02,1.59605627e+01
1.60000000e-02,-4.50383558e-04,-6.55465530e-02,8.53048182e-04,1.15572556e-01,0.00000000e+00,3.16373047e-01,1.18168285e-01,1.61921747e-02,1.15804919e+02,1.58683312e+01
1.80000000e-02,-5.91478822e-04,-7.55769052e-02,1.09895967e-03,1.30325804e-01,0.00000000e+00,3.99426758e-01,1.20741237e-01,1.62926622e-02,1.18326412e+02,1.59668090e+01
2.00000000e-02,-7.52795089e-04,-8.57631134e-02,1.37428315e-03,1.44976697e-01,0.00000000e+00,4.91766087e-01,1.23085616e-01,1.63646633e-02,1.20623904e+02,1.60373700e+01
2.20000000e-02,-9.34477485e-04,-9.58686431e-02,1.67844423e-03,1.58994342e-01,0.00000000e+00,5.93231196e-01,1.20297661e-01,1.53921897e-02,1.17891708e+02,1.50843460e+01
2.40000000e-02,-1.13624914e-03,-1.05943389e-01,2.01008466e-03,1.72748182e-01,0.00000000e+00,7.03646454e-01,1.23972439e-01,1.62791357e-02,1.21492990e+02,1.59535530e+01
2.60000000e-02,-1.35834578e-03,-1.16160232e-01,2.36956473e-03,1.86693666e-01,0.00000000e+00,8.22820734e-01,1.25389466e-01,1.63022883e-02,1.22881677e+02,1.59762425e+01
2.80000000e-02,-1.60089520e-03,-1.26384767e-01,2.75660208e-03,2.00253342e-01,0.00000000e+00,9.50547751e-01,1.26090405e-01,1.60166600e-02,1.23568597e+02,1.56963268e+01
